Metal,Substrate,theta,Temp,Me_MagpieData mean Number,Me_MagpieData mean MendeleevNumber,Me_MagpieData mean AtomicWeight,Me_MagpieData mean MeltingT,Me_MagpieData mean Column,Me_MagpieData mean Row,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NsValence,Me_MagpieData mean NpValence,Me_MagpieData mean NdValence,Me_MagpieData mean NfValence,Me_MagpieData mean NValence,Me_MagpieData mean NsUnfilled,Me_MagpieData mean NpUnfilled,Me_MagpieData mean NdUnfilled,Me_MagpieData mean NUnfilled,Me_MagpieData mean GSvolume_pa,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean Number,Ce_MagpieData mean MendeleevNumber,Ce_MagpieData mean AtomicWeight,Ce_MagpieData mean MeltingT,Ce_MagpieData mean Column,Ce_MagpieData mean Row,Ce_MagpieData mean CovalentRadius,Ce_MagpieData mean Electronegativity,Ce_MagpieData mean NsValence,Ce_MagpieData mean NpValence,Ce_MagpieData mean NdValence,Ce_MagpieData mean NfValence,Ce_MagpieData mean NValence,Ce_MagpieData mean NsUnfilled,Ce_MagpieData mean NpUnfilled,Ce_MagpieData mean NdUnfilled,Ce_MagpieData mean NfUnfilled,Ce_MagpieData mean NUnfilled,Ce_MagpieData mean GSvolume_pa,Ce_MagpieData mean GSbandgap,Ce_MagpieData mean GSmagmom,Ce_MagpieData mean SpaceGroupNumber
Ni,Be1O1,152,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,6,77,12.505791,807.4,9,2,81,2.505,2,2,0,0,4,0,1,0,0,1,8.4975,0,0,103
Ni,Mg1O1,152,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,77.5,20.1522,488.9,9,2.5,103.5,2.375,2,2,0,0,4,0,1,0,0,1,15.9975,0,0,103
Ni,Ti1O2,143,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,12.66666667,72.33333333,26.62193333,683.5333333,12,2.666666667,97.33333333,2.806666667,2,2.666666667,0.666666667,0,5.333333333,0,1.333333333,2.666666667,0,4,11.63333333,0,7.51E-06,72.66666667
Ni,Zr1O2,120,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,18.66666667,72.66666667,41.07426667,745.8666667,12,3,102.3333333,2.736666667,2,2.666666667,0.666666667,0,5.333333333,0,1.333333333,2.666666667,0,4,13.80166667,0,0,72.66666667
Ni,Th1O2,134,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,35.33333333,63.33333333,88.01228667,710.8666667,11.66666667,3.666666667,112.6666667,2.726666667,2,2.666666667,0.666666667,0,5.333333333,0,1.333333333,2.666666667,0,4,16.86,0,0,83
Ni,Al2O3,141,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Be1O1,146,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,6,77,12.505791,807.4,9,2,81,2.505,2,2,0,0,4,0,1,0,0,1,8.4975,0,0,103
Ni,Ti1O2,121,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,12.66666667,72.33333333,26.62193333,683.5333333,12,2.666666667,97.33333333,2.806666667,2,2.666666667,0.666666667,0,5.333333333,0,1.333333333,2.666666667,0,4,11.63333333,0,7.51E-06,72.66666667
Ni,Al2O3,112,1755,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.97Al0.03,Al2O3,113,1755,27.55,61.36,57.74204416,1704.1641,10.09,3.97,123.91,1.901,2,0.03,7.76,0,9.79,0,0.15,1.94,2.09,10.5048,0,0.577532859,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
